City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,82.33,89,20,2.3,MY,1697418169
84,luderitz,-26.6481,15.1594,57.99,81,0,5.39,NA,1697418434
85,enewetak,11.3474,162.3373,83.62,75,100,12.39,MH,1697418434
86,ribeira grande,38.5167,-28.7,70.77,91,61,18.01,PT,1697418435
87,fortuna,40.5982,-124.1573,66.92,87,0,9.22,US,1697418435
88,port mathurin,-19.6833,63.4167,74.82,81,0,10.69,MU,1697418435
89,masterton,-40.9597,175.6575,58.89,52,100,12.71,NZ,1697418435
90,polyarnyy,69.1989,33.4478,41.38,91,98,24.05,RU,1697418352
91,puerto ayora,-0.7393,-90.3518,76.55,91,37,4.0,EC,1697418435
92,whitehorse,60.7161,-135.0538,48.31,69,36,15.01,CA,1697418435
93,nchelenge,-9.3451,28.734,72.48,76,100,4.68,ZM,1697418436
94,waitangi,-43.9535,-176.5597,55.81,67,11,10.0,NZ,1697418436
95,sisimiut,66.9395,-53.6735,25.65,69,99,4.09,GL,1697418436
96,ilulissat,69.2167,-51.1,21.22,86,100,20.71,GL,1697418308
97,stanley,54.868,-1.6985,38.28,92,0,3.44,GB,1697418199
98,hawaiian paradise park,19.5933,-154.9731,85.03,75,20,8.05,US,1697418436
99,taikang,46.8333,124.4167,45.72,30,51,14.65,CN,1697418322
100,thinadhoo,0.5333,72.9333,81.75,78,13,16.62,MV,1697418436
101,vatra dornei,47.35,25.3667,36.05,88,100,3.56,RO,1697418436
102,hammerfest,70.6634,23.6821,39.65,93,100,16.11,NO,1697418437
103,hasaki,35.7333,140.8333,72.28,55,0,5.35,JP,1697418429
104,nar'yan-mar,67.6713,53.087,33.12,87,99,20.0,RU,1697418437
105,pran buri,12.3847,99.9098,79.16,85,100,5.88,TH,1697418437
106,arkhangel'sk,64.5401,40.5433,39.13,78,100,12.64,RU,1697418437
107,choibalsan,48.0667,114.5,46.11,31,16,11.68,MN,1697418437
108,palu,-0.8917,119.8707,87.08,65,4,3.06,ID,1697418437
109,nadym,65.5333,72.5167,32.47,77,100,13.65,RU,1697418430
110,college,64.8569,-147.8028,42.21,90,40,3.44,US,1697418303
111,inebolu,41.9747,33.7608,62.91,50,1,4.99,TR,1697418438
112,aasiaat,68.7098,-52.8699,21.38,75,100,8.03,GL,1697418438
113,iskateley,67.6803,53.1512,33.03,87,99,20.0,RU,1697418438
114,sucua,-2.4667,-78.1667,66.88,97,43,3.47,EC,1697418438
115,bethel,41.3712,-73.414,50.09,77,0,5.75,US,1697418437
116,newman,37.3138,-121.0208,85.28,65,0,1.99,US,1697418277
117,hermanus,-34.4187,19.2345,61.95,85,100,12.15,ZA,1697418439
118,klyuchi,52.2667,79.1667,38.16,79,16,6.64,RU,1697418439
119,yeniseysk,58.4497,92.1703,42.94,70,100,5.01,RU,1697418439
120,olonkinbyen,70.9221,-8.7187,32.54,70,100,8.01,SJ,1697418439
121,kudahuvadhoo,2.6708,72.8944,81.99,78,52,17.98,MV,1697418439
122,sinop,41.7711,34.8709,56.12,53,13,6.08,TR,1697418439
123,ponta delgada,37.7333,-25.6667,72.32,88,75,31.07,PT,1697418439
124,port augusta,-32.5,137.7667,64.69,43,0,20.31,AU,1697418439
125,shengli,37.4564,118.4856,65.44,34,0,8.52,CN,1697418440
126,puerto natales,-51.7236,-72.4875,39.92,93,80,7.54,CL,1697418440
127,slave lake,55.2834,-114.769,51.78,66,75,0.0,CA,1697418345
128,tongchuanshi,35.0806,109.0897,63.0,39,0,2.19,CN,1697418440
129,as sulayyil,20.4607,45.5779,77.25,19,1,5.53,SA,1697418440
